team name,overs range,cummulative overs,total_run_in_over_range,cummulative_sum,cumulative S/R,wickets left,avg_predicted_score,total_runs_in_match
csk,A,4,28,28,116.6666667,10,140,163
csk,B,8,32,60,125,8,150,163
csk,C,12,46,106,147.2222222,8,176.6666667,163
csk,D,16,32,138,143.75,5,172.5,163
csk,E,20,25,163,135.8333333,10,163,163
csk,A,4,34,34,141.6666667,10,170,178
csk,B,8,34,68,141.6666667,9,170,178
csk,C,12,31,99,137.5,9,165,178
csk,D,16,38,137,142.7083333,8,171.25,178
csk,E,20,41,178,148.3333333,7,178,178
csk,A,4,35,35,145.8333333,9,175,185
csk,B,8,35,70,145.8333333,9,175,185
csk,C,12,30,100,138.8888889,8,166.6666667,185
csk,D,16,54,154,160.4166667,8,192.5,185
csk,E,20,31,185,154.1666667,7,185,185
csk,A,4,32,32,133.3333333,9,160,129
csk,B,8,27,59,122.9166667,8,147.5,129
csk,C,12,34,93,129.1666667,8,155,129
csk,D,16,14,107,111.4583333,6,133.75,129
csk,E,20,22,129,107.5,0,129,129
csk,A,4,33,33,137.5,10,165,189
csk,B,8,31,64,133.3333333,9,160,189
csk,C,12,39,103,143.0555556,9,171.6666667,189
csk,D,16,34,137,142.7083333,7,171.25,189
csk,E,20,52,189,157.5,7,189,189
csk,A,4,35,35,145.8333333,10,175,116
csk,B,8,26,61,127.0833333,8,152.5,116
csk,C,12,18,79,109.7222222,6,131.6666667,116
csk,D,16,21,100,104.1666667,4,125,116
csk,E,20,16,116,96.66666667,1,116,116
csk,A,4,35,35,145.8333333,10,175,146
csk,B,8,33,68,141.6666667,9,170,146
csk,C,12,16,84,116.6666667,8,140,146
csk,D,16,30,114,118.75,7,142.5,146
csk,E,20,32,146,121.6666667,5,146,146
csk,A,4,0,15,62.5,10,0,132
csk,B,8,0,63,131.25,10,0,132
csk,C,12,0,89,123.61,8,0,132
csk,D,16,0,105,109.375,5,0,132
csk,E,20,0,132,110,5,0,132
