Over_Range,cumalitive over,RUN_RATE,Wickets left,Cumulative_sum,Actual RUN,s/r over range,current_pred_method,error,abs_error
A,4,5.5,8,22,175,91.66666667,110,65,65
B,8,4.75,7,38,175,79.16666667,95,80,80
C,12,6.5,7,78,175,108.3333333,130,45,45
D,16,6.75,6,108,175,112.5,135,40,40
E,20,8.75,5,175,175,145.8333333,175,0,0
A,4,7.25,10,29,160,120.8333333,145,-15,15
B,8,7.5,9,60,160,125,150,-10,10
C,12,7.25,9,87,160,120.8333333,145,-15,15
D,16,6.875,7,110,160,114.5833333,137.5,-22.5,22.5
E,20,8,7,160,160,133.3333333,160,0,0
A,4,3.75,10,15,132,62.5,75,69.5,69.5
B,8,7.875,10,63,132,131.25,157.5,0.75,0.75
C,12,7.416666667,8,89,132,123.6111111,148.3333333,8.388888889,8.388888889
D,16,6.5625,5,105,132,109.375,131.25,22.625,22.625
E,20,6.6,5,132,132,110,132,22,22
